name,url,salary,id_vacancy,employer,employer_url,requirement,responsibility
Учитель начальной школы,https://hh.ru/vacancy/79202221,60000,79202221,нет данных,нет данных,"Знание программ начальной школы ""Школа 21 век"" и ""Школы России"". Умение работать в команде.",Проведение уроков в начальной школе. Классное руководство в 1 классе. Участие в мероприятиях школы.
Воспитатель/коррекционный педагог,https://hh.ru/vacancy/78971054,200000,78971054,нет данных,нет данных,"Умение работать с особенными детьми в группе, обучение, уход. Образование. Опыт работы.",Коррекционная работа.
Воспитатель детей дошкольного возраста,https://hh.ru/vacancy/79231258,235000,79231258,нет данных,нет данных,"Любовь к детям и умение найти подход к каждому. Коммуникабельность и организованность. Грамотная речь, высокий уровень культуры.",Проведение воспитательных мероприятий. Проведение занятия для творческого развития детей. Обеспечивает строгое выполнение установленного режима дня и сетки занятий.
Преподаватель в школу рисования,https://hh.ru/vacancy/79225086,25000,79225086,нет данных,нет данных,Умение составить программу и последовательность занятий под желания. Потребности и задачи каждого конкретного ученика.  Умение вести ученика по обучению последовательно...,"Проведение занятий по рисованию для взрослых и /или детей разного возраста.  Работа с журналом посещения занятий, составление списка покупок для..."
Учитель начальных классов,https://hh.ru/vacancy/79014682,50000,79014682,нет данных,нет данных,"На вакансию рассматриваются <highlighttext>учителя</highlighttext> начальных классов, русского языка и литературы, математики, <highlighttext>педагоги</highlighttext>-психологи и другие. ... И не забудьте прихватить творческий...",порядка 560 филиалов в России и СНГ. Проведение вводных ознакомительных занятий. Ведение документации по своим ученикам.
Куратор-воспитатель,https://hh.ru/vacancy/78698335,Не указан,78698335,нет данных,нет данных,Опыт работы от 3 лет. Желание обучаться и развиваться. Эмпатия. Умение общаться и стрессоустойчивость. Навык тайм-менеджмента.,"Принимать активное участие в обеспечении безопасной и благополучной среды обучения для учеников, <highlighttext>учителей</highlighttext> и других членов сообщества AIS. "
Преподаватель в онлайн школу (удаленно),https://hh.ru/vacancy/78118285,45000,78118285,нет данных,нет данных,"Требуемый опыт общего преподавания: 1–3 года. Тебе не нужны знания в сфере ментальной арифметики или скорочтения, мы всему научим. - ","развитие детей по самым трендовым результативным направлениям по собственным методикам: ментальная арифметика, робототехника, программирование,скорочтение. - авторские методические материалы и онлайн..."
Педагог дошкольного образования,https://hh.ru/vacancy/78881426,40000,78881426,нет данных,нет данных,Профильное образование. Опыт работы от 1 года (с учетом стажировок).,"На постоянной основе - ведение групповых занятий по готовым конспектам: развитие 2-3 и 4-5, математика, азбука, подготовка к школе..."
Преподаватель учебного центра,https://hh.ru/vacancy/79202543,250000,79202543,нет данных,нет данных,"Высшее образование. Опыт преподавательской работы (обучение, проведение тренингов). Наличие сертификатов желательно, но необязательно. При необходимости сертифицируем от нашего учебного центра.","Проведение обучения по утвержденным авторизованным программам: Развитие читаемых курсов, поддержание их актуальности. Разработка тематических планов и методических материалов. "
Учитель математики,https://hh.ru/vacancy/78757750,80000,78757750,нет данных,нет данных,Высшее профессиональное образование. Релевантный опыт работы. Опыт работы в школе от 5 лет. Педагогический стаж.,
Учитель информатики,https://hh.ru/vacancy/78994668,85000,78994668,нет данных,нет данных,"Обязанности: Педагогическая деятельность по реализации программ основного и среднего общего образования. Требования: Знание ФГОС, диагностика МЦКО. Высшее образование.",
Тьютор / наставник / учитель,https://hh.ru/vacancy/79162261,25000,79162261,нет данных,нет данных,Качества к соискателю: Любовь к детям. Стрессоустойчивость. Энергичность. Ответственность. Пунктуальность. Опрятность.,
Учитель начального класса,https://hh.ru/vacancy/78296019,30000,78296019,нет данных,нет данных,"Учить чтению, письму, арифметике. Требования: Опыт в преподавании от 1 года с группой детей. Образование педагогическое/ психологическое/ гуманитарное. ",Есть второй <highlighttext>учитель</highlighttext> для помощи. Классы до 16 чел. Любознательные дети и добрые родители.
Куратор учебного отделения,https://hh.ru/vacancy/78954061,80000,78954061,нет данных,нет данных,"Обязательно знание основ программирования по любому из направлений: С++, С#, Web-программирование, Python. Большим плюсом будет понимание сферы - опыт работы...","Взаимодействие с <highlighttext>преподавателями</highlighttext> отделения для распределения педагогической нагрузки. Контроль работы <highlighttext>преподавателей</highlighttext>, организация замен <highlighttext>учителей</highlighttext>, работа с коллективом и мотивацией. "
Специалист по работе со школами,https://hh.ru/vacancy/79108682,40000,79108682,нет данных,нет данных,"Навык публичных выступлений, переговоров и работы с аудиторией. Грамотная уверенная речь, коммуникабельность. Желаемый опыт: в сфере школьного образования, обучение взрослых...",...администрацией и <highlighttext>учителями</highlighttext> школ. Лично сопровождать <highlighttext>учителей</highlighttext> до момента достижения результата. Проводить обучающие семинары и вебинары для <highlighttext>учителей</highlighttext> начальной и...
Учитель английского языка,https://hh.ru/vacancy/79159006,250000,79159006,нет данных,нет данных,1. Образование по специальности. 2. Стаж работы не менее 3х лет.,Преподавание английского языка.
Преподаватель общего развития для детей от 4 до 5 лет,https://hh.ru/vacancy/79156366,,79156366,нет данных,нет данных,Обязательно опыт работы.,План уроков.
Учитель начальных классов в русской школе,https://hh.ru/vacancy/79074643,450000,79074643,нет данных,нет данных,Опыт работы от 3-х лет.,Язык обучения - РУССКИЙ. Планирует и организует обучение детей в соответствии с требованиями Государственного общеобязательного стандарта образования по школьному воспитанию и...
Учитель русского языка и литературы,https://hh.ru/vacancy/78603770,40000,78603770,нет данных,нет данных,<highlighttext>Учитель</highlighttext> с опытом работы в школе. Профильное высшее образование. Наличие действующих профильных курсов повышение квалификации.,Преподавание в 5-х - 9-х классах. Классное руководство. Работа с детьми.
Заместитель директора по УВР (научно-методическая работа),https://hh.ru/vacancy/79112975,30000,79112975,нет данных,нет данных,Высшее образование профильной направленности и опыт работы на аналогичной должности от 3-х лет. Отсутствие ограничений к занятию педагогической деятельностью. ,Разработка методических рекомендаций для <highlighttext>учителей</highlighttext>. Координация работы <highlighttext>учителей</highlighttext> и других педагогических работников по выполнению учебных -планов и программ. 
Методист в региональный центр оценки качества образования,https://hh.ru/vacancy/79097280,Не указан,79097280,нет данных,нет данных,"желателен опыт работы методистом, <highlighttext>учителем</highlighttext>, заместителем директора по учебно-воспитательной работе. - знание ФГОС, приоритетов государственной политики в сфере образования, в...","методическое сопровождение процедур оценки качества образования: - подготовка и продвижение аналитических и методических продуктов по результатам региональных мониторинговых исследований, различных процедур..."
Учитель творчества в частную школу (ЦАО),https://hh.ru/vacancy/79207208,35000,79207208,нет данных,нет данных,"высшее образование (либо высшее с профессиональной переподготовкой). -опыт работы с детьми, любовь и уважение к детям, быть с ними на...",интервью (онлайн).
Методист учебного отдела,https://hh.ru/vacancy/79179840,Не указан,79179840,нет данных,нет данных,"Имеешь в портфолио подтвержденные кейсы создания образовательных продуктов, которые приводили к реальному результату. Имеешь опыт разработки образовательного контента — вовлекающий, эффективный...","Создавать контент вместе с экспертами, отвечать за качество каждого урока. Создавать методические материалы для <highlighttext>преподавателей</highlighttext> и инструменты оценки качества их..."
Учитель начальных классов,https://hh.ru/vacancy/78887544,80000,78887544,нет данных,нет данных,Высшее профессиональное образование. Опыт работы не менее 3 лет. Наличие медицинской книжки.,Планирование и проведение учебных занятий. Проведение систематического анализа эффективности уроков и подходов к обучению. И др.
Заместитель директора начальной школы,https://hh.ru/vacancy/79190432,Не указан,79190432,нет данных,нет данных,"Высшее профессиональное образование по специальности (педагогика, начальная школа, методист). Опыт работы <highlighttext>учителем</highlighttext> начальных классов, заместителем директора/методистом обязателен. ","Участие в разработке и реализации мероприятий для выпускников начального общего образования. Координация текущей деятельности <highlighttext>педагогов</highlighttext>, реализующих образовательные программы начального общего..."
Куратор класса,https://hh.ru/vacancy/79143439,Не указан,79143439,нет данных,нет данных,Наличие профильного педагогического образования. Опыт работы в школе. Умение работать с возрастом детей 6-12 лет. Знание возрастной психологии и...,"Учавстовать в школьных и внешкольных мероприятиях. Организовывать мероприятий. Общаться с родителями и <highlighttext>учителями</highlighttext> учеников, предоставлять обратную связь родителям по результатам..."
Преподаватель английского языка,https://hh.ru/vacancy/78802409,500000,78802409,нет данных,нет данных,"Умение и готовность работать в команде, быть ее частью. Креативность, активная жизненная позиция. Позитивное отношение к профессии и понимание ее...",
Учитель математики,https://hh.ru/vacancy/78992746,85000,78992746,нет данных,нет данных,"Обязанности: Педагогическая деятельность по реализации программ основного и среднего общего образования. Требования: Знание ФГОС, диагностика МЦКО. Высшее образование. ",
Педагог-воспитатель в частный детский сад,https://hh.ru/vacancy/78899836,250000,78899836,нет данных,нет данных,Профильное образование. Знание английского языка приветствуется. Опыт работы в детском саду с детьми младшего возраста обязателен.,"Обеспечивать эффективный уход, присмотр, обучение, которое позволяет детям развиваться. Подготовка планов занятий, ресурсов и раздаточных материалов. Определить, составить и разработать..."
Учитель начальных классов,https://hh.ru/vacancy/79165875,40000,79165875,нет данных,нет данных,Высшее педагогическое образование <highlighttext>учитель</highlighttext> начальных классов ОБЯЗАТЕЛЬНО !!! Опыт работы от 5 лет ОБЯЗАТЕЛЕН !!! Знание современных методик и способов образования. ,"Осуществлять обучение и воспитание учащихся с учётом их психолого-физиологических особенностей, с учётом специфики требований федерального государственного образовательного стандарта, способствовать..."
Куратор по работе со студентами,https://hh.ru/vacancy/79198397,Не указан,79198397,нет данных,нет данных,"Опыт работы в образовательной сфере желателен, но не обязателен. Умение взаимодействовать с <highlighttext>преподавателями</highlighttext>. Интерес к психологии. Коммуникабельность, грамотная речь, максимальная...","Ведение информации по студенту в CRM. Общение с ведущими лицами образовательного процесса (<highlighttext>преподаватели</highlighttext>). Общение со студентам (поддержка, мотивация, коммуникация в..."
Учитель английского языка,https://hh.ru/vacancy/79185327,280000,79185327,нет данных,нет данных,"Окружение единомышленников, любящих и знающих свое дело. Подготовка к уроку и наличие плана урока как демонстрация готовности.",Проведение уроков по стабильному расписанию.
Учитель истории и обществознания,https://hh.ru/vacancy/78072213,80000,78072213,нет данных,нет данных,"...должности <highlighttext>учителя</highlighttext>. Наличие 1 или высшей квалификационной категории. ПК- пользователь. Приветствуются профессионалы, увлеченные своим делом, а также начинающие <highlighttext>учителя</highlighttext> хорошо...","Преподавание школьного предмета ""история и обществознание"" в 5-11 классах. Классное руководство."
Куратор онлайн-школы,https://hh.ru/vacancy/78582317,25000,78582317,нет данных,нет данных,Постоянно обучаться и прокачивать свои навыки. Лучшие практические знания и современные инструменты для эффективной удаленной работы. Доступ к авторской технологии...,Помогать ученикам в освоении материалов курса по авторской технологии. Проверять домашние заданий на платформе ГетКурс. Проводить онлайн-встречи с учениками. 
Координатор/Администратор образовательного центра (образование за рубежом и языковые курсы),https://hh.ru/vacancy/78647205,250000,78647205,нет данных,нет данных,"Владение PowerPoint, умение составлять эстетичные слайды. Базовое владение Excel. Знание английского языка уровня pre-intermediate. Грамотная речь. Умение грамотно составлять...",Поиск и Прием на работу новых менеджеров по продажам и <highlighttext>преподавателей</highlighttext>. Составление текстовых рекламных статей/постов (помощь от руководителя). 
Учитель начальных классов,https://hh.ru/vacancy/79132085,30000,79132085,нет данных,нет данных,"...направлению подготовки Образование и педагогика по специальности ""<highlighttext>Учитель</highlighttext> начальных классов"". Опыт работы <highlighttext>учителем</highlighttext> начальных классов желателен, но рассмотрим кандидатов без...","Образовательный процесс осуществляется в соответствии с ФГОС, а также позволяет вести кросс-предметные проекты, творческие образовательные эксперименты и т.д.. "
Учитель начальных классов,https://hh.ru/vacancy/79134854,35000,79134854,нет данных,нет данных,Реагировать на непосредственные по форме обращения детей к <highlighttext>учителю</highlighttext> и распознавать за ними серьезные личные проблемы. Образование: Среднее профессиональное. Условия:​​​​​​​. ,Проектирование образовательного процесса на основе федерального государственного образовательного стандарта начального общего образования с учетом особенностей социальной ситуации развития первоклассника в...
Методист в колледж,https://hh.ru/vacancy/78924727,300000,78924727,нет данных,нет данных,Высшее педагогическое образование. Стаж работы в колледже не менее 3 лет в этой должности. Наличие пользовательских навыков владения компьютером обязательно. ,"Участвует в подготовке и проведении семинаров, конференций, курсов повышения и переподготовки квалификации <highlighttext>преподавателей</highlighttext>. Организует проведение открытых уроков и их обсуждение. "
Ведущий мастер-классов/педагог,https://hh.ru/vacancy/79111491,10000,79111491,нет данных,нет данных,Отличные навыки коммуникации. Есть опыт взаимодействия с большой аудиторией (или ты чувствуешь в себе силы). Отличные ораторские навыки. ,"Проводить в школах мастер-классы по профориентации, особенностям экзаменов и трудоустройству. Собирать анкеты обратной связи (выполнять план сбора анкет)."
Педагог-психолог,https://hh.ru/vacancy/79066052,65000,79066052,нет данных,нет данных,Образование высшее. Опыт работы по специальности приветствуется.,"Помощь в подборе и адаптации сотрудников, формирование комфортного рабочего процесса, проведение тестов и мини тренингов внутри коллектива ."
Методист/методолог/педагогический дизайнер,https://hh.ru/vacancy/79231354,65000,79231354,нет данных,нет данных,"Опыт проектирования учебных программ для онлайн- и офлайн-курсов. Опыт работы в СДО (LMS) типа Moodle, Stepik, АнтиТренинги, GetCourse и...","Разработка новых методик для передачи и усвоения знаний и навыков. Взаимодействие с экспертами (<highlighttext>преподавателями</highlighttext>), оказание им содействия в построении обучения. "
Учитель истории и обществознания,https://hh.ru/vacancy/79045305,30000,79045305,нет данных,нет данных,4) повышение квалификации <highlighttext>педагогов</highlighttext> дополнительного образования (<highlighttext>учителя</highlighttext> -<highlighttext>учителей</highlighttext>).,"2) обеспечение профессиональной поддержки <highlighttext>преподавателей</highlighttext> кафедры, контроль качества реализуемого ими образовательного процесса. 3) осуществление работы по ведению кафедральной документации, обеспечивающей..."
Учитель начальных классов,https://hh.ru/vacancy/79207728,150000,79207728,нет данных,нет данных,"Педагогическое образование <highlighttext>учителя</highlighttext> начальных классов. Высокие коммуникативные навыки, знание детской психологии.",Осуществлятьобучение и воспитание обучающихся. Проводить уроки и внеурочные занятия в соответствии с расписанием.
Учитель начальных классов,https://hh.ru/vacancy/78888408,70000,78888408,нет данных,нет данных,Высшее профессиональное образование. Опыт работы не менее 3 лет. Знание английского языка. Наличие квалификационной категории. Курсы ФГОС за последние 3...,
Ментор по математике,https://hh.ru/vacancy/78186694,150000,78186694,нет данных,нет данных,"Со знанием школьной программы 1-11 классов. Опыт работы в в сферах преподавания, технических или естественных наук не менее 1...",
Преподаватель по раннему развитию детей | Педагог по подготовке к школе | Репетитор-воспитатель,https://hh.ru/vacancy/78249161,28200,78249161,нет данных,нет данных,"ВОСПОЛНЯЕМ ПРОБЕЛЫ ШКОЛЬНОЙ ПРОГРАММЫ И ПРИВИВАЕМ ЛЮБОВЬ К ЗНАНИЯМ.  Обладатель высшего профильного образования и опыта работы от 1,5 лет.  ","Регулярно актуализировать доступные слоты в календаре на платформе в ЛК. ️ Проводить занятия в виртуальном классе по индивидуальной программе, в соответствии..."
